0	0	0	1
1	1	0	1
2	2	0	1
3	3	0	1
4	4	0	1
5	5	0	1
6	6	0	1
7	7	0	1
8	8	0	1
9	9	0	1
10	10	0	1
11	11	0	1
12	12	0	1
13	13	0	1
14	14	0	1
15	15	0	1
16	16	0	1
17	17	0	1
18	18	0	1
19	19	0	1
20	20	0	1
21	21	0	1
22	22	0	1
23	23	0	1
24	24	0	1
25	25	0	1
26	26	0	1
27	27	0	1
28	28	0	1
29	29	0	1
30	30	0	1
31	31	0	1
32	32	0	1
33	33	0	1
34	34	0	1
35	35	0	1
36	36	0	1
37	37	0	1
38	38	0	1
39	39	0	1
40	40	0	1
41	0	1	1
42	1	1	1
43	2	1	1
44	3	1	1
45	4	1	1
46	5	1	1
47	6	1	1
48	7	1	1
49	8	1	1
50	9	1	1
51	10	1	1
52	11	1	1
53	12	1	1
54	13	1	1
55	14	1	1
56	15	1	1
57	16	1	1
58	17	1	1
59	18	1	1
60	19	1	1
61	20	1	1
62	21	1	1
63	22	1	1
64	23	1	1
65	24	1	1
66	25	1	1
67	26	1	1
68	27	1	1
69	28	1	1
70	29	1	1
71	30	1	1
72	31	1	1
73	32	1	1
74	33	1	1
75	34	1	1
76	35	1	1
77	36	1	1
78	37	1	1
79	38	1	1
80	39	1	1
81	40	1	1
82	0	2	1
83	1	2	1
84	2	2	1
85	3	2	1
86	4	2	1
87	5	2	1
88	6	2	1
89	7	2	1
90	8	2	1
91	9	2	1
92	10	2	1
93	11	2	1
94	12	2	1
95	13	2	1
96	14	2	1
97	15	2	1
98	16	2	1
99	17	2	1
100	18	2	1
101	19	2	1
102	20	2	1
103	21	2	1
104	22	2	1
105	23	2	1
106	24	2	1
107	25	2	1
108	26	2	1
109	27	2	1
110	28	2	1
111	29	2	1
112	30	2	1
113	31	2	1
114	32	2	1
115	33	2	1
116	34	2	1
117	35	2	1
118	36	2	1
119	37	2	1
120	38	2	1
121	39	2	1
122	40	2	1
123	0	3	1
124	1	3	1
125	2	3	1
126	3	3	1
127	4	3	1
128	5	3	1
129	6	3	1
130	7	3	1
131	8	3	1
132	9	3	1
133	10	3	1
134	11	3	1
135	12	3	1
136	13	3	1
137	14	3	1
138	15	3	1
139	16	3	1
140	17	3	1
141	18	3	1
142	19	3	1
143	20	3	1
144	21	3	1
145	22	3	1
146	23	3	1
147	24	3	1
148	25	3	1
